Rk,Player,Age,Team,Pos,G,GS,MPAVG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,MPTotal,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SEASON
172,Shai Gilgeous-Alexander,25,OKC,PG,75,75,34,10.6,19.8,0.535,1.3,3.6,0.353,9.3,16.2,0.576,0.567,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2,0.9,2.2,2.5,30.1,"MVP-2,DPOY-7,CPOY-3,AS,NBA1",2553,29.3,0.636,0.181,0.436,3,14.7,9.1,29.8,2.8,2.4,8.4,32.8,10.5,4.2,14.6,0.275,6.7,2.3,9,7.1,2023
173,Anthony Gill,31,WAS,PF,50,3,9.3,1.5,3.2,0.469,0.2,0.8,0.244,1.3,2.4,0.546,0.5,0.6,0.7,0.806,0.7,1.1,1.9,0.7,0.3,0.2,0.5,1,3.8,,466,12.1,0.537,0.256,0.225,8.3,13.4,10.8,10,1.3,1.9,11.6,18,0.1,0.2,0.4,0.038,-2.6,-1.5,-4.1,-0.3,2023
174,Collin Gillespie,24,DEN,PG,24,0,9.4,1.3,2.9,0.464,0.6,1.6,0.395,0.7,1.3,0.548,0.572,0.3,0.5,0.667,0,0.8,0.9,1.1,0.5,0,0.6,1,3.6,,225,11,0.586,0.551,0.174,0.5,9.6,5.2,15.5,2.9,0,15.9,17.1,0.1,0.3,0.4,0.076,-3.7,0.9,-2.7,0,2023
175,Jacob Gilyard,25,2TM,PG,41,14,17,1.5,3.7,0.4,1.2,3.1,0.405,0.2,0.6,0.375,0.57,0,0,1,0.2,0.9,1.1,3.3,0.8,0.1,0.7,1,4.2,,699,11.1,0.573,0.84,0.013,1.4,6,3.6,27.7,2.3,0.7,16.6,11.1,0.8,0.6,1.4,0.095,-2,0.6,-1.4,0.1,2023
176,Rudy Gobert,31,MIN,C,76,76,34.1,5.3,8.1,0.661,0,0,0,5.3,8,0.664,0.661,3.3,5.1,0.638,3.8,9.2,12.9,1.3,0.7,2.1,1.6,3.1,14,"DPOY-1,DEF1",2593,19.3,0.675,0.005,0.635,13.1,29.2,21.5,5.6,1,5.5,13.1,15.4,5.8,5.8,11.6,0.216,0.1,1.7,1.8,2.5,2023
177,Jordan Goodwin,25,2TM,PG,57,12,18.5,2.5,6.7,0.369,0.7,2.5,0.298,1.7,4.2,0.411,0.424,0.8,1,0.746,1.5,2.9,4.4,2.7,0.8,0.3,1,1.3,6.5,,1055,12.6,0.451,0.369,0.154,9.3,17.3,13.3,20.9,2.2,1.6,12.1,19,-0.2,1.4,1.2,0.054,-1.5,0.5,-1,0.3,2023
178,Aaron Gordon,28,DEN,PF,73,73,31.5,5.5,9.8,0.556,0.5,1.9,0.29,4.9,7.9,0.619,0.584,2.4,3.7,0.658,2.4,4.1,6.5,3.5,0.8,0.6,1.4,1.9,13.9,,2297,16.8,0.607,0.193,0.376,8.6,13.9,11.4,15.2,1.2,1.7,11.2,17.8,4.5,2.6,7.1,0.148,1.2,0.1,1.3,1.9,2023
179,Eric Gordon,35,PHO,SG,68,24,27.8,4,9.1,0.443,2.2,5.8,0.378,1.8,3.3,0.561,0.565,0.8,0.9,0.797,0.2,1.6,1.8,2,1,0.4,1.1,1.2,11,,1893,10.8,0.58,0.642,0.104,1,6,3.6,10,1.7,1.4,10.2,16.5,1,1.5,2.5,0.063,-1.3,-0.5,-1.7,0.1,2023
180,Devonte' Graham,28,SAS,PG,23,0,13.6,1.7,4.7,0.352,1.1,3.6,0.301,0.6,1.1,0.52,0.468,0.6,0.7,0.813,0.2,1.3,1.6,2.1,0.4,0.1,0.7,0.6,5,,313,9.4,0.495,0.769,0.148,1.7,10.8,6.2,21,1.4,0.5,12.9,17.8,-0.1,0.2,0.1,0.018,-3,-0.9,-3.9,-0.1,2023
181,Jerami Grant,29,POR,PF,54,54,33.9,7.1,15.7,0.451,2.1,5.1,0.402,5,10.6,0.474,0.516,4.7,5.8,0.817,0.7,2.9,3.5,2.8,0.8,0.6,2.1,2.2,21,,1830,15.4,0.573,0.325,0.367,2.1,10,5.8,13.8,1.2,1.7,10.5,25.7,1.7,1,2.7,0.071,1,-1.1,-0.1,0.9,2023
182,RaiQuan Gray,24,SAS,PF,3,0,13,3.3,5.7,0.588,1,2.3,0.429,2.3,3.3,0.7,0.676,0,0,,0.7,1.7,2.3,2,0.3,0.3,0.3,0,7.7,,39,22.7,0.676,0.412,0,5.5,14,9.7,25.2,1.2,2.1,5.6,19.5,0.1,0,0.2,0.187,5.6,1.8,7.4,0.1,2023
183,A.J. Green,24,MIL,SG,56,0,11,1.5,3.5,0.423,1.2,3,0.408,0.3,0.5,0.519,0.599,0.3,0.3,0.895,0.2,1,1.1,0.5,0.2,0.1,0.2,0.9,4.5,,614,10.5,0.617,0.862,0.097,1.6,9.6,5.7,6.4,0.7,0.6,5.5,15.2,0.7,0.3,1.1,0.084,-0.4,-1.7,-2.1,0,2023
184,Danny Green,36,PHI,SG,2,0,9,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0,1,1,0.5,0.5,0,0,0.5,0,,18,0.7,0,0.5,0,0,12.5,6.1,6.5,2.7,0,0,4.8,0,0,0,-0.035,-7.4,0.8,-6.6,0,2023
185,Draymond Green,33,GSW,PF,55,52,27.1,3.4,6.8,0.497,0.9,2.3,0.395,2.4,4.4,0.551,0.566,1,1.3,0.73,1.4,5.9,7.2,6,1,0.9,2.5,3,8.6,,1490,14.5,0.587,0.347,0.199,5.6,23,14.4,28.6,1.8,2.9,25,15.3,1.4,2.2,3.6,0.116,-0.6,3,2.4,1.6,2023
186,Jalen Green,21,HOU,SG,82,82,31.7,6.9,16.2,0.423,2.5,7.4,0.332,4.4,8.9,0.498,0.498,3.5,4.3,0.804,0.5,4.7,5.2,3.5,0.8,0.3,2.3,1.4,19.6,,2601,14.7,0.541,0.454,0.264,1.7,15.9,8.7,17.3,1.2,1,11.4,27.4,0.2,2.9,3.1,0.056,0.4,-0.9,-0.5,1,2023
187,Javonte Green,30,CHI,SF,9,5,25.6,5,8.3,0.6,1.1,3,0.37,3.9,5.3,0.729,0.667,1.1,1.4,0.769,2.2,5.2,7.4,0.6,1.1,0.9,0.8,2.1,12.2,,230,20.2,0.681,0.36,0.173,9.5,23.3,16.3,3.3,2.2,3.6,8,16.7,0.5,0.3,0.9,0.18,1.9,0.1,2,0.2,2023
188,Jeff Green,37,HOU,PF,78,6,16.8,2.1,4.7,0.456,0.7,2.1,0.331,1.5,2.6,0.553,0.529,1.6,1.9,0.819,0.6,1.7,2.3,0.9,0.2,0.4,0.6,1.3,6.5,,1307,11.3,0.59,0.437,0.407,3.7,10.9,7.3,7.3,0.6,2.2,9.6,15.5,1.4,1.2,2.6,0.095,-1.6,-0.4,-2.1,0,2023
189,Josh Green,23,DAL,SG,57,33,26.4,3.1,6.6,0.479,1.3,3.3,0.385,1.9,3.3,0.572,0.575,0.7,1,0.684,0.7,2.5,3.2,2.3,0.8,0.2,1.1,1.9,8.2,,1505,9.9,0.588,0.5,0.152,2.9,10.4,6.7,11.1,1.5,0.5,13.1,13.1,1,1.2,2.2,0.071,-2.4,-0.3,-2.7,-0.3,2023
190,AJ Griffin,20,ATL,SF,20,0,8.6,0.9,3.1,0.29,0.5,2,0.256,0.4,1.2,0.348,0.371,0.1,0.1,1,0.1,0.8,0.9,0.3,0.1,0.1,0.4,0.3,2.4,,171,1.2,0.382,0.629,0.032,1.2,10.6,5.7,3.7,0.3,1.1,11.3,17.3,-0.4,0,-0.4,-0.12,-6,-3.5,-9.6,-0.3,2023
191,Quentin Grimes,23,2TM,SG,51,18,20.1,2.4,6.4,0.372,1.6,4.7,0.338,0.8,1.7,0.466,0.495,0.7,0.9,0.756,0.3,1.7,2,1.3,0.7,0.1,0.5,1.5,7,,1025,8.9,0.516,0.732,0.137,1.6,9.3,5.5,8.7,1.7,0.6,7.5,15.8,0.3,1,1.3,0.06,-2.6,0.4,-2.2,-0.1,2023
192,Mouhamadou Gueye,25,TOR,PF,11,0,10.9,1,3.5,0.289,0,0.3,0,1,3.2,0.314,0.289,0.4,0.8,0.444,1.1,1,2.1,0.5,0.3,1.6,1.1,1.4,2.4,,120,4.6,0.31,0.079,0.237,10.8,10.3,10.5,5.3,1.2,13.2,22.2,19.2,-0.5,0.2,-0.4,-0.147,-11,-0.9,-11.9,-0.3,2023
193,Mouhamed Gueye,21,ATL,PF,6,0,12.2,1.3,3.8,0.348,0.5,1.5,0.333,0.8,2.3,0.357,0.413,0.8,1,0.833,1.7,2,3.7,0.7,0.8,0.7,0.2,2.2,4,,73,15,0.468,0.391,0.261,14.4,18.6,16.4,7,3.3,4.9,3.8,15.2,0.1,0.1,0.2,0.127,-2.1,0.6,-1.5,0,2023
194,Rui Hachimura,25,LAL,PF,68,39,26.9,5.3,9.9,0.537,1.4,3.4,0.422,3.9,6.5,0.597,0.609,1.5,2,0.739,0.9,3.5,4.3,1.2,0.6,0.4,0.7,1.5,13.6,,1826,15,0.628,0.343,0.198,3.7,13.7,8.9,6.3,1.1,1.2,5.9,18.5,2.7,1.5,4.1,0.108,0,-0.9,-0.9,0.5,2023
195,Ashton Hagans,24,POR,PG,19,1,16.6,1.5,3.7,0.408,0.4,1.3,0.32,1.1,2.4,0.457,0.465,0.7,0.9,0.824,0.7,1.6,2.4,2.8,0.6,0.5,1.6,2.1,4.2,,316,8.5,0.51,0.352,0.239,4.7,11.7,8,23.7,1.7,2.6,27.7,14.6,-0.2,0.3,0,0.006,-4.4,0.9,-3.5,-0.1,2023
